Original gene set ID	Original gene set description	Nominal P value	False discovery rate	qvalue	Test statistic	Adjusted test statistic	Reconstituted gene set Z score gene 1	Reconstituted gene set Z score gene 2	Reconstituted gene set Z score gene 3	Reconstituted gene set Z score gene 4	Reconstituted gene set Z score gene 5	Reconstituted gene set Z score gene 6	Reconstituted gene set Z score gene 7	Reconstituted gene set Z score gene 8	Reconstituted gene set Z score gene 9	Reconstituted gene set Z score gene 10
ENSG00000197905	TEAD4 PPI subnetwork	0.008238	<0.20	0.107	28.245	2.398	AMOTL1 (3.381*,56.0)	TBX15 (2.756*,167.0)	CD163L1 (2.659*,193.0)	NPR3 (2.529*,237.0)	FAM198A (2.246*,385.0)	PHKB (1.954,645.0)	DCBLD2 (1.895,723.0)	LAMB2 (1.853,779.0)	PTCH1 (1.813,826.0)	COG4 (1.565,1207.0)
ENSG00000169083	AR PPI subnetwork	0.00826	<0.20	0.107	28.856	2.397	SETD2 (3.033*,113.0)	CNOT4 (2.775*,190.0)	BAG3 (2.595*,249.0)	TSPAN31 (2.263*,484.0)	TTC28 (2.125*,579.0)	DUSP1 (2.033*,679.0)	MCL1 (1.991,735.0)	SLC35E3 (1.933,805.0)	GAB1 (1.681,1158.0)	NSD1 (1.624,1275.0)
ENSG00000169188	APEX2 PPI subnetwork	0.008305	<0.20	0.108	23.301	2.395	SFRP4 (3.713*,13.0)	MEGF8 (2.175*,405.0)	SRBD1 (2.051*,519.0)	FEZ2 (2.015*,553.0)	ADAMTS6 (1.997,570.0)	STC2 (1.98,590.0)	COG4 (1.802,854.0)	ADAMTS17 (1.782,891.0)	MTMR11 (1.686,1059.0)	TSEN15 (1.583,1258.0)
ENSG00000123612	ACVR1C PPI subnetwork	0.008326	<0.20	0.108	27.453	2.394	DCBLD2 (3.792*,22.0)	ADAMTS6 (3.512*,41.0)	CHSY1 (3.063*,100.0)	LATS2 (3.038*,103.0)	LOXL4 (2.751*,174.0)	WWC2 (2.678*,209.0)	AMOTL1 (2.248*,407.0)	CNOT4 (2.209*,439.0)	SNAI1 (2.081*,539.0)	PDE5A (1.807,850.0)
GO:0014033	neural crest cell differentiation	0.008332	<0.20	0.108	25.257	2.394	PTCH1 (2.87*,151.0)	AMOTL1 (2.824*,164.0)	DCBLD2 (2.618*,246.0)	PCDHB16 (2.468*,320.0)	GSDMC (2.105*,621.0)	KCNJ13 (2.101*,626.0)	FBN2 (1.973,764.0)	LOXL4 (1.899,855.0)	ROR2 (1.877,884.0)	FAM83E (1.873,892.0)
ENSG00000103126	AXIN1 PPI subnetwork	0.008334	<0.20	0.108	19.538	2.394	POLB (2.717*,165.0)	AAGAB (2.572*,225.0)	NSD1 (2.475*,264.0)	SETD2 (2.306*,356.0)	USP35 (2.118*,520.0)	CNOT4 (1.963,660.0)	NPR3 (1.804,876.0)	PAM (1.781,916.0)	TNRC6A (1.776,931.0)	ANAPC4 (1.669,1107.0)
GO:0048641	regulation of skeletal muscle tissue development	0.008351	<0.20	0.108	29.571	2.393	FGFR4 (3.545*,36.0)	CD163L1 (2.88*,123.0)	IP6K3 (2.767*,160.0)	TBX15 (2.699*,182.0)	TTC28 (2.614*,213.0)	FBN2 (2.467*,276.0)	PAM (2.381*,322.0)	ARRDC2 (2.321*,359.0)	SUSD5 (2.178*,457.0)	LAMB2 (1.796,892.0)
MP:0000642	enlarged adrenal glands	0.008354	<0.20	0.108	22.758	2.393	SFRP4 (3.782*,48.0)	CCDC8 (3.056*,110.0)	EPS15 (2.87*,140.0)	RHOBTB3 (2.773*,160.0)	NPR3 (2.67*,185.0)	ADAMTS3 (2.519*,245.0)	DLG5 (2.254*,356.0)	TTC28 (2.218*,381.0)	ROR2 (1.945,597.0)	GAB1 (1.792,805.0)
MP:0005605	increased bone mass	0.008394	<0.20	0.108	27.92	2.391	SFRP4 (3.793*,28.0)	SUSD5 (2.826*,163.0)	SERPINA1 (2.616*,234.0)	SLC8A3 (2.424*,333.0)	DUSP1 (2.404*,347.0)	LOXL4 (2.237*,444.0)	STC2 (1.989,670.0)	IHH (1.859,841.0)	ADAMTS17 (1.832,873.0)	FAM198A (1.757,978.0)
GO:0016706	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors	0.008409	<0.20	0.109	26.818	2.391	STC2 (3.968*,77.0)	CECR5 (2.986*,145.0)	CHSY1 (2.907*,161.0)	ZC3HC1 (2.841*,172.0)	PAM (2.201*,407.0)	LAMB2 (1.983,566.0)	FIBIN (1.824,734.0)	SNAI1 (1.749,834.0)	GMPR2 (1.667,960.0)	SUSD5 (1.607,1053.0)
ENSG00000000419	DPM1 PPI subnetwork	0.008512	<0.20	0.109	16.569	2.386	ARRDC2 (4.338*,3.0)	COG4 (2.913*,82.0)	TSPAN31 (2.577*,171.0)	DPEP1 (2.567*,179.0)	SLC35E3 (2.507*,204.0)	THUMPD1 (2.448*,237.0)	CECR5 (2.249*,338.0)	GMPR2 (2.055*,497.0)	MEI1 (1.964,588.0)	CRIP3 (1.917,649.0)
GO:0003203	endocardial cushion morphogenesis	0.008516	<0.20	0.109	20.149	2.386	CRIP3 (2.515*,302.0)	STC2 (2.412*,369.0)	DLG5 (2.343*,416.0)	FRZB (2.243*,498.0)	IHH (2.226*,514.0)	SNAI1 (2.207*,528.0)	UTS2 (1.88,859.0)	PCDHB16 (1.867,874.0)	ROR2 (1.574,1323.0)	TSPAN31 (1.447,1587.0)
ENSG00000157240	FZD1 PPI subnetwork	0.008517	<0.20	0.109	31.593	2.386	GLT8D2 (3.861*,32.0)	ROR2 (3.57*,50.0)	PTPN13 (2.846*,174.0)	CBLC (2.754*,199.0)	WWC2 (2.559*,290.0)	PTCH1 (2.211*,507.0)	SFRP4 (2.133*,583.0)	FRZB (2.007*,692.0)	DCBLD2 (1.936,771.0)	AMOTL1 (1.925,782.0)
MP:0003886	abnormal embryonic epiblast morphology	0.008519	<0.20	0.109	20.907	2.386	USP44 (4.002*,22.0)	WWC2 (2.579*,211.0)	GAB1 (2.148*,466.0)	SNAI1 (2.003*,609.0)	LATS2 (1.93,668.0)	PTPN13 (1.88,724.0)	ROR2 (1.871,736.0)	KIAA1586 (1.866,745.0)	CNOT4 (1.75,922.0)	MRPL23 (1.719,982.0)
GO:0008585	female gonad development	0.008522	<0.20	0.109	26.75	2.386	LOXL4 (2.711*,235.0)	SFRP4 (2.693*,246.0)	MEI1 (2.584*,295.0)	ADAMTS5 (2.554*,306.0)	CRIP3 (2.013*,690.0)	DCBLD2 (1.957,750.0)	NPR3 (1.883,832.0)	CYP1B1 (1.803,934.0)	STC2 (1.736,1033.0)	CCDC8 (1.677,1130.0)
GO:0044212	transcription regulatory region DNA binding	0.008526	<0.20	0.109	27.408	2.386	SNAI1 (3.882*,26.0)	PTCH1 (3.596*,58.0)	DUSP1 (2.862*,213.0)	TTC28 (2.098*,634.0)	NSD1 (2.037*,693.0)	MCL1 (2.017*,706.0)	CNOT4 (1.995,729.0)	CHSY1 (1.982,746.0)	ZBTB7B (1.951,777.0)	GAB1 (1.887,867.0)
MP:0001328	disorganized retinal layers	0.008544	<0.20	0.109	20.378	2.385	SLC24A1 (3.106*,131.0)	LOXL4 (2.66*,245.0)	MARCH3 (2.561*,273.0)	FRZB (2.479*,306.0)	PTCH1 (2.346*,367.0)	FAM198A (2.058*,578.0)	MATN3 (2.015*,625.0)	PTPN13 (2.011*,631.0)	HHAT (1.993,650.0)	TSEN15 (1.882,777.0)
obsolete_molecular_function	obsolete_molecular_function	0.008548	<0.20	0.109	30.453	2.385	ZBTB7B (3.262*,26.0)	INPP5B (2.439*,213.0)	AMOTL1 (2.368*,252.0)	ARMC5 (2.368*,253.0)	MEGF8 (2.076*,455.0)	USP35 (2.048*,491.0)	ARRDC2 (2.048*,492.0)	MTMR11 (2.007*,542.0)	LATS2 (1.884,692.0)	RHOBTB3 (1.88,701.0)
GO:0048286	lung alveolus development	0.008562	<0.20	0.109	26.101	2.384	PDE5A (2.807*,184.0)	DENND2A (2.717*,212.0)	ROR2 (2.578*,270.0)	IQCC (2.328*,401.0)	FGFR4 (2.327*,403.0)	N4BP2 (2.247*,467.0)	ADAMTS6 (1.994,700.0)	TTC28 (1.978,721.0)	CRISPLD2 (1.96,751.0)	PTCH1 (1.753,1010.0)
GO:0016758	transferase activity, transferring hexosyl groups	0.008594	<0.20	0.109	25.129	2.383	FAM83E (4.046*,69.0)	IHH (2.431*,523.0)	TSPAN31 (2.312*,590.0)	CHSY1 (2.254*,627.0)	HHAT (2.235*,638.0)	MEGF8 (2.231*,641.0)	SUSD5 (2.21*,656.0)	PAM (2.109*,724.0)	DCBLD2 (2.023*,778.0)	GSDMC (2.005*,797.0)
GO:0042575	DNA polymerase complex	0.008595	<0.20	0.109	28.325	2.383	WDR76 (5.19*,2.0)	IQCC (2.828*,128.0)	FBN2 (2.578*,211.0)	AAGAB (2.308*,368.0)	PRIM1 (2.307*,370.0)	DNMT1 (2.213*,437.0)	TAF2 (2.179*,476.0)	ZC3HC1 (1.917,738.0)	IFT88 (1.613,1232.0)	LOXL4 (1.607,1245.0)
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.008595	<0.20	0.109	23.182	2.383	SUSD5 (3.54*,40.0)	CHSY1 (3.265*,63.0)	CRISPLD2 (2.673*,201.0)	FIBIN (2.591*,227.0)	HHAT (2.578*,232.0)	SLC8A3 (2.319*,368.0)	MATN3 (2.177*,466.0)	GLT8D2 (2.137*,513.0)	PIP4K2A (1.99,660.0)	NSD1 (1.89,786.0)
ENSG00000070950	RAD18 PPI subnetwork	0.008619	<0.20	0.11	19.289	2.382	WDR76 (3.097*,90.0)	PRIM1 (2.949*,122.0)	XPC (2.919*,135.0)	KIAA1586 (2.619*,257.0)	DNMT1 (2.186*,534.0)	SRBD1 (2.035*,675.0)	N4BP2 (1.992,733.0)	GMPR2 (1.935,785.0)	IQCC (1.915,818.0)	NTAN1 (1.887,857.0)
GO:0046660	female sex differentiation	0.008636	<0.20	0.11	27.995	2.381	ADAMTS5 (2.421*,328.0)	STC2 (2.329*,390.0)	MEI1 (2.16*,515.0)	DCBLD2 (2.127*,550.0)	RHOBTB3 (2.076*,591.0)	NPR3 (2.066*,602.0)	SFRP4 (2.066*,603.0)	DPEP1 (2.051*,624.0)	ADAMTS3 (1.983,690.0)	LOXL4 (1.916,774.0)
MP:0002108	abnormal muscle morphology	0.008643	<0.20	0.11	46.016	2.381	IP6K3 (3.655*,105.0)	PTCH1 (3.558*,118.0)	TTN (3.55*,119.0)	STC2 (3.399*,136.0)	ELN (3.352*,142.0)	SFRP4 (2.988*,210.0)	CCDC8 (2.637*,317.0)	SNAI1 (2.519*,361.0)	FGFR4 (2.274*,502.0)	IHH (2.197*,546.0)
GO:0040012	regulation of locomotion	0.008652	<0.20	0.11	39.22	2.38	LAMB2 (2.979*,156.0)	ADAMTS6 (2.776*,220.0)	CRISPLD2 (2.619*,293.0)	LATS2 (2.614*,297.0)	FRZB (2.558*,329.0)	MMP14 (2.364*,439.0)	WWC2 (2.292*,488.0)	SNAI1 (2.2*,560.0)	GLT8D2 (2.196*,563.0)	ADAMTS5 (2.182*,576.0)
MP:0001126	abnormal ovary morphology	0.008662	<0.20	0.11	34.373	2.38	RHOBTB3 (3.046*,102.0)	IHH (2.842*,148.0)	HIST1H1A (2.46*,304.0)	MEI1 (2.415*,331.0)	CCDC8 (2.237*,440.0)	HSD11B2 (2.102*,525.0)	CHSY1 (2.055*,562.0)	USP44 (1.911,725.0)	FAM83E (1.827,831.0)	PRIM1 (1.701,1032.0)
MP:0002398	abnormal bone marrow cell morphology/development	0.008669	<0.20	0.11	29.066	2.379	CHSY1 (2.96*,122.0)	MARCH3 (2.543*,247.0)	CYP1B1 (2.496*,276.0)	XPC (2.483*,286.0)	MCL1 (2.439*,308.0)	RHOBTB3 (2.279*,400.0)	ZBTB7B (2.048*,555.0)	PIP4K2A (2.046*,560.0)	SFRP4 (1.816,842.0)	ACSL5 (1.726,977.0)
ENSG00000114857	NKTR PPI subnetwork	0.008687	<0.20	0.11	10.56	2.379	LOXL4 (3.426*,21.0)	PIP4K2A (2.52*,170.0)	THUMPD1 (2.298*,306.0)	SUSD5 (2.232*,357.0)	ARRDC2 (2.133*,435.0)	SLC8A3 (2.048*,512.0)	ZC3HC1 (1.99,570.0)	CHSY1 (1.975,585.0)	CECR5 (1.901,679.0)	USP35 (1.43,1620.0)
ENSG00000168036	CTNNB1 PPI subnetwork	0.008702	<0.20	0.112	33.209	2.378	FBN2 (2.901*,88.0)	RHOBTB3 (2.834*,114.0)	DLG5 (2.695*,170.0)	WWC2 (2.527*,241.0)	BAG3 (2.299*,381.0)	SETD2 (2.154*,510.0)	PTPN13 (2.018*,674.0)	AMOTL1 (1.975,729.0)	TTC28 (1.856,918.0)	PDE5A (1.847,932.0)
MP:0006398	increased long bone epiphyseal plate size	0.008719	<0.20	0.112	32.31	2.377	PTH1R (4.987*,32.0)	SLC8A3 (4.972*,34.0)	MATN3 (4.715*,37.0)	CYP1B1 (3.393*,120.0)	TIAM2 (3.223*,143.0)	SUSD5 (3.21*,144.0)	MMP14 (2.994*,180.0)	FIBIN (2.691*,258.0)	GLT8D2 (2.649*,272.0)	FAM198A (2.335*,405.0)
GO:0001701	in utero embryonic development	0.008784	<0.20	0.112	35.634	2.375	N4BP2 (3.424*,19.0)	LATS2 (2.274*,287.0)	WWC2 (2.21*,320.0)	SNAI1 (2.191*,334.0)	GAB1 (1.987,538.0)	ROR2 (1.963,566.0)	CHSY1 (1.754,885.0)	MMP14 (1.7,978.0)	DUSP1 (1.684,1012.0)	PTCH1 (1.671,1040.0)
GO:0042693	muscle cell fate commitment	0.0088	<0.20	0.113	24.891	2.374	IP6K3 (6.353*,12.0)	FGFR4 (4.957*,41.0)	IQCC (3.469*,143.0)	ADAMTS17 (3.449*,146.0)	TBX15 (3.125*,201.0)	CCDC8 (2.961*,240.0)	SLC8A3 (2.497*,419.0)	TTN (2.467*,435.0)	RHOBTB3 (1.957,755.0)	IFT88 (1.817,915.0)
GO:0003682	chromatin binding	0.00884	<0.20	0.113	30.173	2.372	CNOT4 (3.1*,131.0)	SETD2 (2.998*,164.0)	PTCH1 (2.679*,290.0)	KIAA0922 (2.528*,373.0)	DNMT1 (2.383*,473.0)	TNRC6A (2.071*,750.0)	TTC28 (1.999,833.0)	GAB1 (1.946,888.0)	ARMC5 (1.916,914.0)	N4BP2 (1.814,1049.0)
GO:0001558	regulation of cell growth	0.008863	<0.20	0.113	22.688	2.371	ADAMTS6 (3.105*,41.0)	FIBIN (2.573*,163.0)	LAMB2 (2.557*,166.0)	MATN3 (2.104*,420.0)	PAM (1.993,537.0)	CYP1B1 (1.933,626.0)	SFRP4 (1.92,654.0)	CRIP3 (1.835,755.0)	SUSD5 (1.792,813.0)	SNAI1 (1.776,832.0)
GO:0003197	endocardial cushion development	0.008878	<0.20	0.113	22.044	2.371	ROR2 (2.436*,352.0)	FGFR4 (2.402*,374.0)	IHH (2.332*,413.0)	STC2 (2.194*,513.0)	SNAI1 (2.135*,560.0)	PTCH1 (2.12*,582.0)	FRZB (2.082*,631.0)	PDE5A (2.048*,665.0)	PAM (1.778,990.0)	PCDHB16 (1.654,1186.0)
MP:0001890	anencephaly	0.008989	<0.20	0.113	24.927	2.366	FRZB (3.309*,88.0)	KCNJ13 (3.213*,106.0)	PTPN13 (2.484*,314.0)	FBN2 (2.384*,362.0)	AMOTL1 (2.264*,442.0)	LAMB2 (2.126*,538.0)	PTCH1 (2.067*,589.0)	TBX15 (2.026*,622.0)	SLC35E3 (1.586,1198.0)	NPR3 (1.506,1351.0)
GO:0014855	striated muscle cell proliferation	0.009016	<0.20	0.114	20.389	2.365	ELN (3.551*,43.0)	CCDC8 (3.076*,121.0)	SUSD5 (2.954*,147.0)	ZNF568 (2.586*,257.0)	ADAMTS6 (2.514*,295.0)	IQCC (2.487*,309.0)	IHH (2.34*,385.0)	PDE5A (2.255*,450.0)	PTCH1 (2.221*,474.0)	NPR3 (1.971,694.0)
MP:0011086	partial postnatal lethality	0.00904	<0.20	0.114	43.716	2.364	ELN (3.114*,97.0)	TTC28 (3.053*,114.0)	ADAMTS5 (3.015*,126.0)	LATS2 (2.991*,132.0)	PTCH1 (2.877*,173.0)	ROR2 (2.75*,217.0)	FBN2 (2.721*,231.0)	SNAI1 (2.661*,252.0)	CHSY1 (2.426*,372.0)	NSD1 (2.182*,535.0)
ENSG00000126247	CAPNS1 PPI subnetwork	0.009084	<0.20	0.114	23.039	2.362	TSPAN31 (3.92*,8.0)	DLG5 (3.382*,30.0)	PHKB (2.902*,79.0)	IP6K3 (2.467*,234.0)	FEZ2 (2.099*,517.0)	LOXL4 (1.983,638.0)	COG4 (1.97,656.0)	SLC35E3 (1.93,694.0)	MTMR11 (1.907,715.0)	IHH (1.878,753.0)
ENSG00000185214	ENSG00000185214 PPI subnetwork	0.009092	<0.20	0.114	33.058	2.362	TAF2 (3.673*,62.0)	PHKB (3.39*,86.0)	IKBKAP (3.043*,169.0)	NSD1 (2.897*,204.0)	SETD2 (2.794*,245.0)	EPS15 (2.56*,348.0)	ANAPC4 (2.456*,399.0)	TTC28 (2.416*,421.0)	COG4 (2.237*,546.0)	GAB1 (1.97,775.0)
GO:0004714	transmembrane receptor protein tyrosine kinase activity	0.009122	<0.20	0.115	47.596	2.361	RHOBTB3 (3.376*,75.0)	MMP14 (3.151*,119.0)	PTH1R (3.097*,130.0)	LATS2 (3.043*,138.0)	PTPN13 (2.974*,160.0)	PTCH1 (2.935*,172.0)	DLG5 (2.922*,175.0)	FBN2 (2.918*,178.0)	ADAMTS5 (2.637*,291.0)	FRZB (2.628*,294.0)
ENSG00000130522	JUND PPI subnetwork	0.009203	<0.20	0.116	13.669	2.357	DUSP1 (8.784*,2.0)	MCL1 (4.922*,30.0)	TSEN15 (2.917*,122.0)	EPS15 (2.676*,184.0)	TIAM2 (2.336*,311.0)	ZBTB7B (2.147*,415.0)	SFRP4 (1.675,942.0)	IP6K3 (1.612,1057.0)	PCDHB16 (1.583,1114.0)	GRAMD2 (1.516,1255.0)
ENSG00000117318	ID3 PPI subnetwork	0.009217	<0.20	0.116	23.404	2.357	FGFR4 (3.858*,43.0)	SNAI1 (3.415*,102.0)	TBX15 (3.13*,140.0)	TTN (2.944*,183.0)	DUSP1 (2.484*,304.0)	IP6K3 (2.316*,383.0)	CCDC8 (1.838,796.0)	FAM83E (1.717,977.0)	IQCC (1.514,1344.0)	MCL1 (1.49,1384.0)
MP:0005262	coloboma	0.009307	<0.20	0.117	29.956	2.353	PTPN13 (3.164*,50.0)	WDR78 (3.163*,51.0)	ROR2 (2.778*,120.0)	SFRP4 (2.495*,227.0)	SCMH1 (2.228*,381.0)	FAM198A (2.129*,482.0)	SETD2 (2.013*,618.0)	ADAMTS5 (1.818,871.0)	POLB (1.69,1062.0)	DENND2A (1.685,1069.0)
ENSG00000138069	RAB1A PPI subnetwork	0.009337	<0.20	0.117	3.257	2.352	GMPR2 (3.305*,128.0)	ANAPC4 (2.919*,220.0)	ARMC5 (2.84*,254.0)	EPS15 (2.584*,352.0)	TMBIM4 (2.218*,591.0)	IQCC (1.864,914.0)	ZNF568 (1.719,1088.0)	COG4 (1.712,1100.0)	KCNJ13 (1.686,1144.0)	USP35 (1.663,1160.0)
ENSG00000136603	SKIL PPI subnetwork	0.009348	<0.20	0.117	44.828	2.352	SETD2 (3.153*,60.0)	DENND2A (3.025*,83.0)	FBN2 (2.975*,95.0)	DOPEY1 (2.947*,98.0)	DCBLD2 (2.692*,156.0)	MMP14 (2.467*,254.0)	NSD1 (2.366*,309.0)	PTPN13 (2.19*,426.0)	RHOBTB3 (2.188*,428.0)	SERPINF1 (2.103*,516.0)
ENSG00000036257	CUL3 PPI subnetwork	0.009379	<0.20	0.117	25.096	2.35	PHKB (3.497*,43.0)	ANAPC4 (3.148*,94.0)	COG4 (2.791*,167.0)	SCMH1 (2.636*,225.0)	N4BP2 (2.45*,323.0)	DOPEY1 (2.315*,401.0)	THUMPD1 (2.256*,443.0)	KIAA1586 (1.992,676.0)	GMPR2 (1.942,733.0)	GAB1 (1.898,786.0)
GO:0030336	negative regulation of cell migration	0.00938	<0.20	0.117	32.293	2.35	LOXL4 (2.052*,608.0)	ELN (2.016*,652.0)	CRISPLD2 (1.962,718.0)	FRZB (1.847,876.0)	GMPR2 (1.825,905.0)	XPC (1.8,942.0)	LAMB2 (1.725,1057.0)	FAM198A (1.722,1060.0)	SNAI1 (1.643,1212.0)	LATS2 (1.632,1233.0)
REACTOME_FRS2:MEDIATED_CASCADE	REACTOME_FRS2:MEDIATED_CASCADE	0.00947	<0.20	0.118	14.3	2.347	PTCH1 (2.977*,112.0)	SLC35E3 (2.618*,205.0)	NPR3 (2.457*,256.0)	SNAI1 (2.419*,270.0)	WWC2 (2.392*,287.0)	DPEP1 (2.334*,316.0)	IHH (2.332*,319.0)	PDE5A (2.284*,344.0)	DCBLD2 (2.246*,371.0)	STC2 (2.036*,556.0)
GO:0003690	double-stranded DNA binding	0.009509	<0.20	0.119	24.896	2.345	DUSP1 (5.979*,1.0)	MCL1 (3.353*,51.0)	GAB1 (2.432*,257.0)	ZBTB7B (2.394*,285.0)	CNOT4 (2.256*,372.0)	PTCH1 (2.133*,468.0)	PDE5A (2.094*,499.0)	PRIM1 (2.034*,557.0)	IHH (2.033*,558.0)	SRBD1 (1.807,842.0)
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION__PROTEASOME_DEGRADATION	REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION__PROTEASOME_DEGRADATION	0.009583	<0.20	0.119	8.224	2.342	ZC3HC1 (3.168*,130.0)	ANAPC4 (3.098*,145.0)	CNOT4 (2.678*,269.0)	TNRC6A (2.171*,622.0)	AAGAB (1.959,847.0)	EMC4 (1.906,902.0)	EPS15 (1.898,912.0)	FEZ2 (1.672,1251.0)	DOPEY1 (1.662,1268.0)	PHKB (1.638,1306.0)
ENSG00000158711	ELK4 PPI subnetwork	0.009592	<0.20	0.119	17.203	2.342	SNAI1 (5.95*,14.0)	DUSP1 (5.668*,17.0)	MCL1 (3.483*,56.0)	MTMR11 (2.842*,123.0)	BAG3 (2.352*,286.0)	ZBTB7B (2.15*,396.0)	IHH (1.665,953.0)	FAM83E (1.544,1185.0)	WDR76 (1.515,1251.0)	FEZ2 (1.486,1327.0)
ENSG00000006712	PAF1 PPI subnetwork	0.00961	<0.20	0.12	21.322	2.341	IFT88 (3.103*,119.0)	ZNF568 (3.05*,131.0)	GMPR2 (2.269*,505.0)	ARMC5 (2.091*,658.0)	ZC3HC1 (2.046*,701.0)	SRBD1 (2.005*,760.0)	TAF2 (1.997,766.0)	POLB (1.963,801.0)	XPC (1.784,1017.0)	ANAPC4 (1.751,1058.0)
ENSG00000124151	NCOA3 PPI subnetwork	0.009617	<0.20	0.12	33.222	2.341	DUSP1 (4.117*,4.0)	ZBTB7B (3.567*,22.0)	LOXL4 (2.536*,188.0)	IHH (2.163*,415.0)	CCDC8 (1.966,606.0)	HSD11B2 (1.866,735.0)	SFRP4 (1.853,756.0)	TTC28 (1.781,863.0)	DLG5 (1.721,984.0)	SETD2 (1.621,1144.0)
ENSG00000164438	TLX3 PPI subnetwork	0.009666	<0.20	0.12	26.622	2.339	ZC3HC1 (2.903*,84.0)	COG4 (2.813*,112.0)	SUSD5 (2.161*,395.0)	HSD11B2 (2.057*,505.0)	AAGAB (2.052*,509.0)	CRIP3 (1.937,643.0)	CD163L1 (1.923,662.0)	PTH1R (1.846,762.0)	SETD2 (1.826,792.0)	FAM83E (1.824,796.0)
MP:0002989	small kidney	0.009679	<0.20	0.12	37.573	2.339	NPR3 (4.859*,27.0)	PTPN13 (3.66*,88.0)	HSD11B2 (3.289*,138.0)	ROR2 (2.917*,231.0)	PTH1R (2.904*,235.0)	ADAMTS17 (2.844*,250.0)	FBN2 (2.669*,306.0)	ADAMTS5 (2.658*,310.0)	FGFR4 (2.385*,460.0)	AMOTL1 (2.098*,657.0)
MP:0010053	decreased grip strength	0.009695	<0.20	0.12	37.955	2.338	SLC8A3 (3.21*,57.0)	IP6K3 (3.153*,67.0)	LAMB2 (3.023*,87.0)	PAM (2.984*,97.0)	MEGF8 (2.791*,155.0)	TBX15 (2.655*,194.0)	ADAMTS5 (2.65*,197.0)	TTN (2.473*,280.0)	IQCC (2.464*,282.0)	COG4 (2.327*,368.0)
ENSG00000106799	TGFBR1 PPI subnetwork	0.009728	<0.20	0.121	20.92	2.337	LATS2 (3.792*,9.0)	FEZ2 (3.322*,32.0)	WWC2 (2.938*,90.0)	ADAMTS6 (2.791*,128.0)	ZC3HC1 (2.427*,250.0)	POLB (2.043*,548.0)	MARCH3 (2.025*,569.0)	DPEP1 (1.932,676.0)	HHAT (1.873,740.0)	ARRDC2 (1.784,870.0)
MP:0002637	small uterus	0.009747	<0.20	0.121	25.719	2.336	IHH (3.501*,47.0)	DUSP1 (2.767*,167.0)	ADAMTS6 (2.685*,192.0)	PAM (2.216*,421.0)	SFRP4 (2.097*,522.0)	CCDC8 (2.056*,565.0)	TSPAN31 (2.038*,582.0)	CRISPLD2 (2.032*,590.0)	PTPN13 (1.844,800.0)	AMOTL1 (1.802,857.0)
ENSG00000184270	HIST2H2AB PPI subnetwork	0.009751	<0.20	0.121	16.16	2.336	HIST1H1T (6.246*,30.0)	HIST1H1A (2.44*,213.0)	LOXL4 (2.374*,236.0)	PIP4K2A (1.902,562.0)	CHSY1 (1.789,708.0)	IHH (1.536,1112.0)	IQCC (1.46,1279.0)	SNAI1 (1.43,1350.0)	KIAA1586 (1.346,1556.0)	SLC39A8 (1.332,1599.0)
ENSG00000185737	NRG3 PPI subnetwork	0.009781	<0.20	0.121	17.919	2.335	PHKB (2.361*,284.0)	POLB (2.186*,391.0)	FAM198A (2.184*,394.0)	IQCC (2.058*,508.0)	CRIP3 (1.966,594.0)	CBLC (1.89,670.0)	LATS2 (1.846,733.0)	ARRDC2 (1.839,741.0)	MCL1 (1.811,785.0)	FEZ2 (1.778,840.0)
ENSG00000126067	PSMB2 PPI subnetwork	0.009838	<0.20	0.121	3.285	2.332	EMC4 (4.128*,84.0)	ANAPC4 (3.268*,167.0)	HIST1H1T (2.806*,278.0)	ZC3HC1 (2.132*,630.0)	BAG3 (2.037*,703.0)	AAGAB (1.795,951.0)	MRPL23 (1.691,1080.0)	TSEN15 (1.672,1111.0)	PHKB (1.671,1115.0)	GMPR2 (1.542,1309.0)
ENSG00000168061	SAC3D1 PPI subnetwork	0.009841	<0.20	0.121	22.449	2.332	SLC35E3 (3.895*,11.0)	IFT88 (3.066*,119.0)	DNMT1 (2.828*,195.0)	SETD2 (2.807*,201.0)	TAF2 (2.543*,329.0)	PRIM1 (2.223*,571.0)	COG4 (2.062*,716.0)	IKBKAP (1.754,1112.0)	ANAPC4 (1.665,1266.0)	ZC3HC1 (1.612,1359.0)
ENSG00000100302	RASD2 PPI subnetwork	0.009921	<0.20	0.123	26.032	2.329	DCBLD2 (3.795*,26.0)	CNOT4 (2.847*,160.0)	AAGAB (2.074*,573.0)	FAM198A (2.044*,615.0)	TIAM2 (1.924,731.0)	LATS2 (1.773,922.0)	PDE5A (1.757,944.0)	CHSY1 (1.753,948.0)	PTCH1 (1.649,1105.0)	WWC2 (1.623,1166.0)
